Subject,Start Date,End Date,Start Time,End Time
"IAS Cours
G Amphi",04/01/21,04/01/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",04/01/21,04/01/21,3:45 PM,5:45 PM
"Anglais
Magistère Salle
315",03/29/21,03/29/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",03/29/21,03/29/21,10:45 AM,12:45 PM
"IA Cours
G.Amphi",04/02/21,04/02/21,2:00 PM,5:45 PM
TP IA G1/E201,04/02/21,04/02/21,3:45 PM,5:45 PM
Lundi de Pâques,04/05/21,04/05/21,9:00 AM,10:30 AM
"Lang. Formel
Cours G Amphi",04/06/21,04/06/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",04/06/21,04/06/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",04/06/21,04/06/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",04/06/21,04/06/21,3:15 PM,4:45 PM
"IAS Cours
G Amphi",04/08/21,04/08/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",04/08/21,04/08/21,3:45 PM,5:45 PM
"IA Cours
G.Amphi",04/09/21,04/09/21,2:00 PM,5:45 PM
TP IA G1/E201,04/09/21,04/09/21,3:45 PM,5:45 PM
"Anglais GA, IELTS",04/12/21,04/12/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",04/12/21,04/12/21,10:45 AM,12:45 PM
Projet PFA G1/E202,04/12/21,04/12/21,2:00 PM,5:45 PM
"Lang. Formel
Cours G Amphi",04/13/21,04/13/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",04/13/21,04/13/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",04/13/21,04/13/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",04/13/21,04/13/21,3:15 PM,4:45 PM
"IAS Cours
G Amphi",04/15/21,04/15/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",04/15/21,04/15/21,3:45 PM,5:45 PM
"Anglais
Magistère Salle
315",04/12/21,04/12/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",04/12/21,04/12/21,10:45 AM,12:45 PM
"IA Cours
G.Amphi",04/16/21,04/16/21,2:00 PM,5:45 PM
TP IA G1/E201,04/16/21,04/16/21,3:45 PM,5:45 PM
"Anglais GA, IELTS",04/19/21,04/19/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",04/19/21,04/19/21,10:45 AM,12:45 PM
Projet PFA G1/E202,04/19/21,04/19/21,2:00 PM,5:45 PM
Réserve,04/20/21,04/20/21,9:00 AM,10:30 AM
Réserve,04/22/21,04/22/21,9:00 AM,10:30 AM
Réserve,04/23/21,04/23/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",04/19/21,04/19/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",04/19/21,04/19/21,10:45 AM,12:45 PM
Vacances de PRINTEMPS,04/26/21,04/26/21,9:00 AM,10:30 AM
examens,05/03/21,05/03/21,9:00 AM,10:30 AM
examens,05/03/21,05/03/21,2:00 PM,5:45 PM
examens,05/04/21,05/04/21,9:00 AM,10:30 AM
examens,05/04/21,05/04/21,2:00 PM,3:00 PM
examens,05/05/21,05/05/21,9:00 AM,10:30 AM
examens,05/05/21,05/05/21,2:00 PM,3:00 PM
examens,05/06/21,05/06/21,9:00 AM,10:30 AM
examens,05/06/21,05/06/21,2:00 PM,3:30 PM
examens,05/07/21,05/07/21,9:00 AM,12:45 PM
examens,05/07/21,05/07/21,2:00 PM,5:45 PM
examens,05/10/21,05/10/21,9:00 AM,10:30 AM
examens,05/10/21,05/10/21,2:00 PM,5:45 PM
examens,05/11/21,05/11/21,9:00 AM,10:30 AM
examens,05/11/21,05/11/21,2:00 PM,3:00 PM
examens,05/12/21,05/12/21,9:00 AM,10:30 AM
examens,05/12/21,05/12/21,2:00 PM,3:00 PM
Jeudi de l'Ascension,05/13/21,05/13/21,9:00 AM,10:30 AM
examens,05/14/21,05/14/21,9:00 AM,12:45 PM
examens,05/14/21,05/14/21,2:00 PM,5:45 PM
Réserve,05/17/21,05/17/21,9:00 AM,10:30 AM
Réserve,05/18/21,05/18/21,9:00 AM,10:30 AM
Réserve,05/19/21,05/19/21,9:00 AM,10:30 AM
Réserve,05/20/21,05/20/21,9:00 AM,10:30 AM
Réserve,05/21/21,05/21/21,9:00 AM,12:45 PM
Lundi Pentecôte,05/24/21,05/24/21,9:00 AM,10:30 AM
Réserve,05/25/21,05/25/21,9:00 AM,10:30 AM
Réserve,05/26/21,05/26/21,9:00 AM,10:30 AM
Réserve,05/27/21,05/27/21,9:00 AM,10:30 AM
Réserve,05/28/21,05/28/21,9:00 AM,12:45 PM
Réserve,05/31/21,05/31/21,9:00 AM,10:30 AM
Réserve,06/01/21,06/01/21,9:00 AM,10:30 AM
Réserve,06/02/21,06/02/21,9:00 AM,10:30 AM
Réserve,06/03/21,06/03/21,9:00 AM,10:30 AM
Réserve,06/04/21,06/04/21,9:00 AM,12:45 PM
Soutiens semestre  5,06/07/21,06/07/21,9:00 AM,10:30 AM
Soutiens semestre  5,06/07/21,06/07/21,2:00 PM,5:45 PM
Soutiens semestre  5,06/08/21,06/08/21,9:00 AM,10:30 AM
Soutiens semestre  5,06/08/21,06/08/21,2:00 PM,3:00 PM
Soutiens semestre  5,06/09/21,06/09/21,9:00 AM,10:30 AM
Soutiens semestre  5,06/09/21,06/09/21,2:00 PM,3:00 PM
Soutiens semestre 5,06/10/21,06/10/21,9:00 AM,10:30 AM
Soutiens semestre 5,06/10/21,06/10/21,2:00 PM,3:30 PM
Soutiens semestre 5,06/11/21,06/11/21,9:00 AM,12:45 PM
Soutiens semestre 5,06/11/21,06/11/21,2:00 PM,5:45 PM
Soutiens semestre  6,06/14/21,06/14/21,9:00 AM,10:30 AM
Soutiens semestre  6,06/14/21,06/14/21,2:00 PM,5:45 PM
Soutiens semestre  6,06/15/21,06/15/21,9:00 AM,10:30 AM
Soutiens semestre  6,06/15/21,06/15/21,2:00 PM,3:00 PM
Soutiens semestre  6,06/16/21,06/16/21,9:00 AM,10:30 AM
Soutiens semestre 6,06/16/21,06/16/21,2:00 PM,3:00 PM
Soutiens semestre 6,06/17/21,06/17/21,9:00 AM,10:30 AM
Soutiens semestre 6,06/17/21,06/17/21,2:00 PM,3:30 PM
Soutiens semestre 6,06/18/21,06/18/21,9:00 AM,12:45 PM
Soutiens semestre 6,06/18/21,06/18/21,2:00 PM,5:45 PM
examens 2ème session,06/21/21,06/21/21,9:00 AM,10:30 AM
examens 2ème session,06/21/21,06/21/21,2:00 PM,5:45 PM
examens 2ème session,06/22/21,06/22/21,9:00 AM,10:30 AM
examens 2ème session,06/22/21,06/22/21,2:00 PM,3:00 PM
examens 2ème session,06/23/21,06/23/21,9:00 AM,10:30 AM
examens 2ème session,06/23/21,06/23/21,2:00 PM,3:00 PM
examens 2ème session,06/24/21,06/24/21,9:00 AM,10:30 AM
examens 2ème session,06/24/21,06/24/21,2:00 PM,3:30 PM
examens 2ème session,06/25/21,06/25/21,9:00 AM,12:45 PM
examens 2ème session,06/25/21,06/25/21,2:00 PM,5:45 PM
examens 2ème session,06/28/21,06/28/21,9:00 AM,10:30 AM
examens 2ème session,06/28/21,06/28/21,2:00 PM,5:45 PM
examens 2ème session,06/29/21,06/29/21,9:00 AM,10:30 AM
examens 2ème session,06/29/21,06/29/21,2:00 PM,3:00 PM
examens 2ème session,06/30/21,06/30/21,9:00 AM,10:30 AM
examens 2ème session,06/30/21,06/30/21,2:00 PM,3:00 PM
examens 2ème session,07/01/21,07/01/21,9:00 AM,10:30 AM
examens 2ème session,07/01/21,07/01/21,2:00 PM,3:30 PM
examens 2ème session,07/02/21,07/02/21,9:00 AM,12:45 PM
examens 2ème session,07/02/21,07/02/21,2:00 PM,5:45 PM
